,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,Artist
0,0.069659864,0.394739229,0.719818594,1.207437642,1.64861678,1.95047619,2.275555556,2.554195011,3.041814059,3.64553288,4.109931973,4.388571429,4.690430839,4.992290249,5.29414966,5.619229025,5.921088435,6.199727891,6.501587302,6.826666667,7.105306122,7.430385488,7.732244898,8.057324263,8.544943311,8.986122449,9.287981859,9.729160998,10.17034014,4.083657535,4.194026658,4.307378729,4.423794371,4.543356381,4.666149797,4.792261953,2
1,0.069659864,0.487619048,0.743038549,1.114557823,1.439637188,1.741496599,2.229115646,2.484535147,3.227573696,3.599092971,3.94739229,4.202811791,4.458231293,4.713650794,4.969070295,5.456689342,5.712108844,6.199727891,6.455147392,6.710566893,7.035646259,7.430385488,7.685804989,7.94122449,8.428843537,8.684263039,9.032562358,9.427301587,9.93814059,4.123402586,4.234845899,4.349301194,4.466849875,4.587575547,4.711564075,4.838903645,7
2,0.069659864,0.441179138,0.859138322,1.439637188,1.741496599,2.136235828,2.507755102,2.879274376,3.227573696,3.738412698,3.9938322,4.435011338,4.736870748,5.108390023,5.503129252,5.851428571,6.222947846,6.803446712,7.360725624,7.616145125,7.89478458,8.28952381,8.637823129,9.032562358,9.380861678,9.682721088,9.961360544,10.35609977,10.70439909,4.421957468,4.541469832,4.66421226,4.79027205,4.919738863,5.052704778,5.189264366,3
3,0.069659864,1.253877551,1.857596372,2.136235828,2.623854875,3.366893424,3.64553288,3.970612245,4.249251701,4.551111111,4.829750567,5.758548753,6.083628118,6.664126984,6.965986395,7.569705215,9.055782313,9.357641723,9.984580499,2.594442606,2.664562676,2.736577884,2.810539448,2.886499974,2.964513487,3.044635473,3.126922918,3.211434348,3.298229871,3.387371219,3.478921792,3.572946706,3.669512833,3.768688855,3.870545311,3.975154644,2
4,0.069659864,0.325079365,0.65015873,0.952018141,1.277097506,1.602176871,1.904036281,2.229115646,2.530975057,2.879274376,3.157913832,3.482993197,3.808072562,4.109931973,4.435011338,4.736870748,5.061950113,5.363809524,5.688888889,5.990748299,6.315827664,6.640907029,6.94276644,7.267845805,7.569705215,7.89478458,8.219863946,8.521723356,8.846802721,9.125442177,9.473741497,9.775600907,10.10068027,10.42575964,4.929114421,5.062333729,5
5,0.069659864,0.417959184,0.928798186,1.369977324,1.718276644,2.205895692,2.64707483,2.902494331,3.181133787,3.482993197,4.040272109,4.29569161,4.806530612,5.247709751,5.572789116,5.921088435,6.2461678,6.571247166,6.873106576,7.383945578,7.871564626,8.150204082,8.452063492,8.800362812,9.171882086,9.450521542,9.752380952,10.10068027,4.09817491,4.208936394,4.322691431,4.439520929,4.559507982,4.682737927,4.809298412,4.93927945,4
6,0.069659864,0.441179138,0.719818594,1.021678005,1.323537415,1.671836735,1.95047619,2.29877551,2.577414966,2.902494331,3.204353741,3.482993197,3.94739229,4.272471655,4.574331066,4.876190476,5.178049887,5.479909297,5.804988662,6.106848073,6.408707483,6.733786848,7.058866213,7.360725624,7.639365079,7.964444444,8.266303855,8.544943311,8.870022676,9.171882086,9.496961451,9.775600907,10.07746032,4.656039713,4.781878624,4.911118587,3
7,0.34829932,0.603718821,1.044897959,1.486077098,1.741496599,2.205895692,2.64707483,2.972154195,3.343673469,3.784852608,4.249251701,4.713650794,5.154829932,5.619229025,5.874648526,6.269387755,6.617687075,7.058866213,7.314285714,7.755464853,8.266303855,8.614603175,8.962902494,9.473741497,9.89170068,10.35609977,3.847859288,3.951855485,4.05866239,4.168355968,4.281014237,4.396717325,4.515547523,4.637589348,4.7629296,4.891657427,6
8,0.069659864,0.371519274,0.65015873,0.975238095,1.277097506,1.578956916,1.880816327,2.182675737,2.484535147,2.809614512,3.111473923,3.413333333,3.738412698,4.040272109,4.342131519,4.64399093,4.969070295,5.270929705,5.572789116,5.874648526,6.176507937,6.478367347,6.780226757,7.082086168,7.407165533,7.709024943,8.010884354,8.312743764,8.614603175,8.916462585,9.218321995,9.520181406,9.822040816,10.12390023,4.768374088,4.897249064,3
9,0.069659864,0.557278912,1.091337868,1.578956916,1.95047619,2.29877551,2.600634921,3.088253968,3.413333333,3.854512472,4.109931973,4.852970522,5.131609977,5.64244898,5.990748299,6.408707483,6.664126984,7.174965986,7.523265306,7.918004535,8.196643991,8.521723356,8.962902494,9.218321995,9.729160998,10.24,3.805101428,3.907942007,4.013562061,4.122036712,4.233443109,4.347860491,4.465370234,4.586055916,4.710003373,4.837300761,4
10,0.185759637,0.557278912,0.928798186,1.555736961,1.973696145,2.368435374,2.623854875,3.181133787,3.482993197,3.924172336,4.435011338,4.713650794,5.108390023,5.503129252,5.874648526,6.478367347,6.733786848,7.29106576,7.709024943,8.103764172,8.382403628,8.800362812,9.171882086,9.752380952,10.05424036,10.56507937,3.931325611,4.037577655,4.146701375,4.258774385,4.373876396,4.492089271,4.61349709,4.7381862,4.866245287,4.997765429,6
11,0.069659864,0.534058957,0.789478458,1.044897959,1.30031746,1.555736961,2.066575964,2.507755102,2.809614512,3.088253968,3.575873016,3.831292517,4.086712018,4.59755102,4.852970522,5.108390023,5.363809524,5.619229025,5.874648526,6.130068027,6.385487528,6.873106576,7.151746032,7.639365079,7.89478458,8.150204082,8.405623583,8.661043084,9.171882086,9.427301587,9.682721088,10.14712018,10.44897959,4.752601581,4.881050273,5.01297055,1
12,0.069659864,0.371519274,0.766258503,1.021678005,1.34675737,1.880816327,2.136235828,2.484535147,2.879274376,3.157913832,3.599092971,3.854512472,4.156371882,4.435011338,4.760090703,5.154829932,5.456689342,5.897868481,6.153287982,6.431927438,6.733786848,7.035646259,7.314285714,7.616145125,8.196643991,8.730702948,9.009342404,9.311201814,9.659501134,10.00780045,10.30965986,4.511866152,4.63380848,4.759046547,4.887669427,5.019768601,7
13,0.069659864,0.325079365,0.673378685,0.975238095,1.323537415,1.857596372,2.159455782,2.484535147,2.94893424,3.274013605,3.599092971,3.900952381,4.249251701,4.574331066,4.899410431,5.224489796,5.526349206,5.874648526,6.199727891,6.524807256,6.826666667,7.174965986,7.500045351,7.825124717,8.126984127,8.382403628,8.637823129,8.962902494,9.311201814,9.58984127,9.93814059,10.35609977,4.791802415,4.921310588,5.054318982,5.190922198,8
14,0.069659864,0.394739229,0.99845805,1.602176871,2.043356009,2.670294785,3.088253968,3.390113379,3.9938322,4.272471655,4.574331066,6.965986395,7.453605442,8.150204082,8.637823129,9.055782313,9.357641723,9.659501134,9.93814059,2.65719924,2.729015436,2.80277261,2.878523221,2.956321146,3.036221717,3.118281764,3.202559649,3.289115315,3.378010324,3.4693079,3.563072978,3.659372248,3.758274201,3.859849179,3.964169427,4.071309142,2
15,0.069659864,0.34829932,0.626938776,0.975238095,1.30031746,1.64861678,1.904036281,2.159455782,2.438095238,2.94893424,3.227573696,3.482993197,3.738412698,4.040272109,4.365351474,4.829750567,5.085170068,5.340589569,5.619229025,6.130068027,6.408707483,6.664126984,6.919546485,7.198185941,7.453605442,7.732244898,7.987664399,8.498503401,8.753922902,9.287981859,9.566621315,10.07746032,4.346691181,4.464169321,4.584822546,4.708736669,4
16,0.069659864,0.371519274,0.65015873,0.975238095,1.277097506,1.578956916,1.880816327,2.182675737,2.484535147,2.809614512,3.111473923,3.413333333,3.738412698,4.040272109,4.342131519,4.64399093,4.969070295,5.270929705,5.572789116,5.874648526,6.176507937,6.478367347,6.780226757,7.082086168,7.407165533,7.709024943,8.010884354,8.312743764,8.614603175,8.916462585,9.218321995,9.520181406,9.822040816,10.12390023,4.768374088,4.897249064,3
17,0.069659864,0.441179138,0.835918367,1.207437642,1.532517007,1.880816327,2.229115646,2.577414966,2.925714286,3.320453515,3.668752834,4.017052154,4.365351474,4.713650794,5.061950113,5.410249433,5.781768707,6.176507937,6.478367347,6.965986395,7.383945578,7.732244898,8.080544218,8.452063492,8.962902494,9.334421769,9.682721088,10.00780045,3.980986701,4.088580936,4.199083124,4.312571857,4.429127853,4.548834011,4.671775471,4.798039673,8
18,0.069659864,0.580498866,2.020136054,2.507755102,2.925714286,3.343673469,3.9938322,4.458231293,4.876190476,5.688888889,6.315827664,6.571247166,7.012426304,7.430385488,8.498503401,8.777142857,9.357641723,9.822040816,10.21678005,10.47219955,3.187534473,3.273684054,3.362162001,3.453031244,3.546356413,3.642203884,3.740641826,3.841740254,3.945571072,4.052208128,4.161727266,4.274206382,4.389725473,4.508366702,4.630214451,4.755355382,3
19,0.069659864,0.487619048,0.812698413,1.393197279,1.95047619,2.252335601,2.554195011,3.134693878,3.738412698,4.179591837,4.481451247,4.922630385,5.201269841,5.758548753,6.083628118,6.385487528,6.664126984,6.965986395,7.267845805,7.569705215,7.848344671,8.150204082,8.452063492,8.89324263,9.24154195,9.636281179,10.19356009,3.926724275,4.032851958,4.141847957,4.253789794,4.368757086,4.486831602,4.60809732,4.732640491,4.860549694,1
20,0.069659864,0.371519274,0.673378685,1.021678005,1.323537415,1.64861678,1.973696145,2.29877551,2.600634921,2.902494331,3.204353741,3.459773243,3.877732426,4.133151927,4.527891156,4.829750567,5.178049887,5.479909297,5.781768707,6.106848073,6.431927438,6.757006803,7.082086168,7.407165533,7.709024943,8.010884354,8.312743764,8.568163265,8.986122449,9.311201814,9.636281179,9.961360544,4.449653735,4.569914647,4.693425854,4.820275201,5
21,0.069659864,0.441179138,0.743038549,1.044897959,1.578956916,2.043356009,2.391655329,2.99537415,3.320453515,3.64553288,4.109931973,4.435011338,4.922630385,5.224489796,5.549569161,5.897868481,6.176507937,6.501587302,7.151746032,7.453605442,7.778684807,8.126984127,8.452063492,8.753922902,9.218321995,9.705941043,10.05424036,10.33287982,4.030272722,4.139199011,4.251069255,4.365963019,4.483962019,4.605150182,4.7296137,4.857441098,1
22,0.069659864,0.417959184,0.673378685,1.021678005,1.486077098,1.834376417,2.182675737,2.554195011,2.902494331,3.250793651,3.622312925,3.970612245,4.272471655,4.551111111,5.015510204,5.387029478,5.735328798,6.083628118,6.455147392,6.803446712,7.174965986,7.500045351,7.871564626,8.219863946,8.568163265,8.916462585,9.287981859,9.636281179,10.21678005,10.70439909,4.442875529,4.562953246,4.686276306,4.812932423,4.943011677,5.076606588,8
23,0.069659864,0.34829932,0.65015873,0.928798186,1.207437642,1.509297052,1.787936508,2.066575964,2.34521542,2.623854875,2.94893424,3.343673469,3.64553288,3.924172336,4.342131519,4.620770975,4.922630385,5.224489796,5.503129252,5.781768707,6.060408163,6.362267574,6.640907029,6.919546485,7.198185941,7.523265306,7.918004535,8.196643991,8.498503401,8.916462585,9.195102041,9.473741497,9.775600907,10.19356009,10.4954195,5.085461788,7
24,0.069659864,0.394739229,0.99845805,1.253877551,1.741496599,2.438095238,2.716734694,3.157913832,3.738412698,4.109931973,4.551111111,4.899410431,5.456689342,5.921088435,6.222947846,6.640907029,7.337505669,8.010884354,8.312743764,8.707482993,9.195102041,9.682721088,10.12390023,10.42575964,3.570474965,3.666974288,3.766081701,3.867867693,3.972404658,4.079766946,4.190030918,4.303274996,4.419579726,4.539027827,4.661704254,4.787696261,6
25,0.069659864,0.603718821,0.928798186,1.253877551,1.509297052,1.857596372,2.159455782,2.507755102,2.832834467,3.134693878,3.436553288,3.761632653,4.063492063,4.411791383,4.690430839,5.015510204,5.317369615,5.59600907,5.897868481,6.431927438,6.896326531,7.174965986,7.523265306,7.801904762,8.126984127,8.452063492,8.753922902,9.079002268,9.404081633,9.705941043,9.984580499,10.30965986,4.721431636,4.849037896,4.980092974,5.114690082,6
26,0.069659864,0.371519274,0.696598639,0.99845805,1.277097506,1.578956916,1.904036281,2.182675737,2.484535147,2.763174603,3.088253968,3.390113379,3.691972789,3.9938322,4.29569161,4.59755102,4.899410431,5.201269841,5.503129252,5.781768707,6.083628118,6.385487528,6.687346939,6.989206349,7.29106576,7.59292517,7.871564626,8.173424036,8.475283447,8.777142857,9.079002268,9.380861678,9.682721088,9.984580499,4.708755286,4.836018942,3
27,0.069659864,0.34829932,0.65015873,0.952018141,1.277097506,1.602176871,1.927256236,2.252335601,2.577414966,2.902494331,3.204353741,3.506213152,3.831292517,4.156371882,4.481451247,4.806530612,5.131609977,5.433469388,5.735328798,6.037188209,6.29260771,6.710566893,7.035646259,7.360725624,7.685804989,8.103764172,8.428843537,8.753922902,9.079002268,9.380861678,9.705941043,10.00780045,4.444005638,4.564113899,4.687468328,4.814156662,5
28,0.069659864,0.441179138,0.719818594,1.021678005,1.323537415,1.671836735,1.95047619,2.29877551,2.577414966,2.902494331,3.204353741,3.482993197,3.94739229,4.272471655,4.574331066,4.876190476,5.178049887,5.479909297,5.804988662,6.106848073,6.408707483,6.733786848,7.058866213,7.360725624,7.639365079,7.964444444,8.266303855,8.544943311,8.870022676,9.171882086,9.496961451,9.775600907,10.07746032,4.656039713,4.781878624,4.911118587,3
29,0.069659864,0.394739229,0.719818594,1.091337868,1.439637188,1.787936508,2.113015873,2.368435374,2.832834467,3.181133787,3.506213152,3.761632653,4.226031746,4.574331066,4.922630385,5.270929705,5.59600907,5.851428571,6.315827664,6.664126984,7.012426304,7.360725624,7.709024943,8.057324263,8.428843537,8.777142857,9.102222222,9.450521542,9.822040816,10.14712018,10.4954195,4.43379788,4.553630255,4.676701343,4.803098676,4.932912154,1
30,0.116099773,0.371519274,0.975238095,1.253877551,1.532517007,1.811156463,2.113015873,2.414875283,2.670294785,2.972154195,3.250793651,3.552653061,3.831292517,4.133151927,4.435011338,4.713650794,5.224489796,5.549569161,5.804988662,6.083628118,6.408707483,6.710566893,6.989206349,7.24462585,7.523265306,7.825124717,8.103764172,8.405623583,8.684263039,8.986122449,9.264761905,9.752380952,10.10068027,10.40253968,10.70439909,5.295027272,6
31,0.069659864,0.325079365,0.65015873,0.952018141,1.277097506,1.602176871,1.904036281,2.229115646,2.530975057,2.879274376,3.157913832,3.482993197,3.808072562,4.109931973,4.435011338,4.736870748,5.061950113,5.363809524,5.688888889,5.990748299,6.315827664,6.640907029,6.94276644,7.267845805,7.569705215,7.89478458,8.219863946,8.521723356,8.846802721,9.125442177,9.473741497,9.775600907,10.10068027,10.42575964,4.929114421,5.062333729,5
32,0.092879819,0.34829932,0.65015873,0.928798186,1.30031746,1.602176871,1.95047619,2.205895692,2.484535147,2.739954649,3.018594104,3.274013605,3.808072562,4.063492063,4.318911565,4.574331066,4.852970522,5.108390023,5.363809524,5.665668934,6.060408163,6.315827664,6.640907029,6.896326531,7.174965986,7.430385488,7.709024943,7.964444444,8.475283447,8.870022676,9.287981859,9.752380952,10.03102041,4.45839799,4.578895233,4.702649158,4
33,0.069659864,0.34829932,0.65015873,1.207437642,1.486077098,1.787936508,2.089795918,2.391655329,2.925714286,3.227573696,3.506213152,3.808072562,4.086712018,4.388571429,4.64399093,4.969070295,5.224489796,5.526349206,5.828208617,6.130068027,6.571247166,6.965986395,7.24462585,7.569705215,8.103764172,8.452063492,8.986122449,9.287981859,9.822040816,10.37931973,4.099430042,4.210225449,4.324015326,4.440880605,4.560904405,4.684172092,4
34,0.069659864,0.325079365,0.789478458,1.114557823,1.416417234,1.718276644,1.9969161,2.29877551,2.577414966,2.879274376,3.181133787,3.459773243,3.761632653,4.040272109,4.365351474,4.64399093,4.94585034,5.224489796,5.526349206,5.804988662,6.130068027,6.431927438,6.687346939,6.989206349,7.314285714,7.59292517,7.871564626,8.173424036,8.475283447,8.777142857,9.055782313,9.334421769,9.636281179,9.93814059,10.19356009,5.020028191,3
35,0.069659864,0.534058957,0.789478458,1.044897959,1.323537415,1.602176871,2.136235828,2.64707483,2.925714286,3.204353741,3.738412698,4.202811791,4.504671202,4.783310658,5.29414966,5.781768707,6.060408163,6.548027211,6.826666667,7.082086168,7.616145125,7.871564626,8.405623583,8.89324263,9.171882086,9.682721088,9.984580499,3.695277318,3.795149678,3.897721291,4.00306511,4.111256059,4.222371087,4.336489225,4.453691636,4.57406168,4
36,0.069659864,0.441179138,0.719818594,1.114557823,1.416417234,1.811156463,2.113015873,2.438095238,2.739954649,3.111473923,3.552653061,3.970612245,4.226031746,4.620770975,4.922630385,5.317369615,5.64244898,6.013968254,6.339047619,6.710566893,7.035646259,7.407165533,7.732244898,8.103764172,8.475283447,8.823582766,9.171882086,9.659501134,10.05424036,10.42575964,4.275148618,4.390693175,4.509360558,4.631235168,4.756403686,4.884955137,4
37,0.069659864,0.441179138,0.766258503,1.091337868,1.369977324,1.718276644,2.020136054,2.484535147,2.786394558,3.088253968,3.413333333,3.715192744,4.040272109,4.342131519,4.667210884,4.969070295,5.29414966,5.59600907,5.921088435,6.222947846,6.548027211,6.849886621,7.174965986,7.476825397,7.801904762,8.103764172,8.405623583,8.730702948,9.032562358,9.357641723,9.659501134,9.984580499,4.463335172,4.583965852,4.707856821,4.835096195,2
38,0.069659864,0.325079365,0.603718821,0.882358277,1.160997732,1.439637188,1.741496599,2.020136054,2.321995465,2.600634921,2.879274376,3.157913832,3.436553288,3.715192744,3.9938322,4.29569161,4.574331066,4.829750567,5.131609977,5.387029478,5.781768707,6.339047619,6.780226757,7.058866213,7.337505669,7.59292517,7.871564626,8.173424036,8.59138322,9.009342404,9.287981859,9.566621315,9.822040816,10.12390023,10.37931973,10.84371882,2
39,0.069659864,0.557278912,0.835918367,1.184217687,1.486077098,1.787936508,2.089795918,2.391655329,2.716734694,3.343673469,3.64553288,3.94739229,4.249251701,4.504671202,4.899410431,5.178049887,5.479909297,5.990748299,6.269387755,6.524807256,6.873106576,7.29106576,7.639365079,7.94122449,8.2430839,8.568163265,8.870022676,9.125442177,9.450521542,9.775600907,10.07746032,4.513707177,4.635699262,4.760988432,4.889663795,5.02181687,6
40,0.069659864,0.34829932,0.673378685,0.99845805,1.253877551,1.532517007,1.880816327,2.159455782,2.461315193,2.94893424,3.274013605,3.599092971,3.924172336,4.249251701,4.574331066,4.899410431,5.224489796,5.572789116,5.897868481,6.199727891,6.524807256,6.826666667,7.174965986,7.500045351,7.755464853,9.125442177,9.450521542,9.798820862,10.10068027,3.89187228,3.997058018,4.105086613,4.2160349,4.329981789,4.447008324,4.567197738,8
41,0.069659864,0.464399093,0.882358277,1.30031746,1.718276644,2.136235828,2.554195011,2.94893424,3.390113379,3.784852608,4.226031746,4.620770975,5.038730159,5.456689342,5.897868481,6.29260771,6.710566893,7.128526077,7.569705215,7.964444444,8.59138322,9.009342404,9.427301587,9.845260771,10.24,3.466718147,3.560413232,3.656640616,3.755468741,3.856967896,3.961210272,4.068270009,4.178223252,4.291148205,4.407125184,4.526236675,1
42,0.069659864,0.534058957,0.905578231,1.486077098,1.834376417,2.136235828,2.577414966,2.879274376,3.250793651,3.738412698,4.040272109,4.342131519,4.783310658,5.061950113,5.479909297,5.758548753,6.176507937,6.687346939,6.965986395,7.267845805,7.546485261,7.801904762,8.126984127,8.382403628,8.637823129,8.89324263,9.287981859,9.613061224,9.868480726,10.19356009,10.44897959,4.831799963,4.962389151,5.096507777,5.234251231,5.37571748,4
43,0.069659864,0.580498866,2.020136054,2.507755102,2.925714286,3.343673469,3.9938322,4.458231293,4.876190476,5.688888889,6.315827664,6.571247166,7.012426304,7.430385488,8.498503401,8.777142857,9.357641723,9.822040816,10.21678005,10.47219955,3.187534473,3.273684054,3.362162001,3.453031244,3.546356413,3.642203884,3.740641826,3.841740254,3.945571072,4.052208128,4.161727266,4.274206382,4.389725473,4.508366702,4.630214451,4.755355382,3
44,0.069659864,0.557278912,0.905578231,1.30031746,1.64861678,2.020136054,2.391655329,2.763174603,3.111473923,3.482993197,3.831292517,4.179591837,4.551111111,4.94585034,5.270929705,5.665668934,6.013968254,6.385487528,6.733786848,7.267845805,7.616145125,7.987664399,8.335963719,8.730702948,9.055782313,9.427301587,9.798820862,10.17034014,10.51863946,11.23845805,11.63319728,11.9814966,12.32979592,12.58521542,5.85151192,6.009660891,2
45,0.116099773,0.371519274,0.975238095,1.253877551,1.532517007,1.811156463,2.113015873,2.414875283,2.670294785,2.972154195,3.250793651,3.552653061,3.831292517,4.133151927,4.435011338,4.713650794,5.224489796,5.549569161,5.804988662,6.083628118,6.408707483,6.710566893,6.989206349,7.24462585,7.523265306,7.825124717,8.103764172,8.405623583,8.684263039,8.986122449,9.264761905,9.752380952,10.10068027,10.40253968,10.70439909,5.295027272,6
46,0.069659864,0.441179138,0.719818594,1.114557823,1.416417234,1.811156463,2.113015873,2.438095238,2.739954649,3.111473923,3.552653061,3.970612245,4.226031746,4.620770975,4.922630385,5.317369615,5.64244898,6.013968254,6.339047619,6.710566893,7.035646259,7.407165533,7.732244898,8.103764172,8.475283447,8.823582766,9.171882086,9.659501134,10.05424036,10.42575964,4.275148618,4.390693175,4.509360558,4.631235168,4.756403686,4.884955137,4
